input,gold_hard,fine_label,llm_soft,llm_hard
Who was the first person inducted into the U.S. Swimming Hall of Fame ?,human being,29,"[{'human': -0.0042369915, 'entity': -5.472705, 'description': -10.749674, 'n': -12.064272, 'location': -14.012789}]",human
What golfer has been called Ohio Fats and Blobbo ?,human being,29,"[{'entity': -0.60282254, 'human': -1.0856793, 'description': -2.1626906, 'n': -10.091722, 'location': -12.544297}]",entity
Who murdered Leno and Rosemary LaBianca on August 1,human being,29,"[{'entity': -0.29814562, 'human': -1.4056895, 'description': -4.3761945, 'location': -10.8751335, 'n': -11.065472}]",entity
What is the average cost for four years of medical school ?,numeric value,41,"[{'n': -4.2433903e-06, 'entity': -12.612835, 'description': -13.90994, 'ab': -16.029636, 'location': -18.936024}]",n
What does God create in the first sentence of the Bible ?,entity,13,"[{'entity': -0.42776442, 'description': -1.0562053, 'human': -8.401267, 'n': -10.395087, 'location': -11.9294195}]",entity
Which of the following men was not married to Rita Hayworth ?,human being,29,"[{'human': -0.086428754, 'entity': -2.6578474, 'description': -4.378581, 'n': -8.936, 'ab': -10.993014}]",human
What is the current ticket fare from from Cairo to Barbados ?,numeric value,41,"[{'n': -0.000107127074, 'entity': -9.274422, 'description': -11.398445, 'ab': -13.583421, 'location': -13.965187}]",n
What does NN O `` mean when used as a prefix in Irish surnames ?,abbreviation,1,"[{'ab': -0.13598159, 'description': -2.607356, 'entity': -2.930812, 'n': -9.896357, 'location': -11.810891}]",ab
How do you find oxidation numbers ?,description,26,"[{'n': -0.22709543, 'description': -1.6462619, 'entity': -4.5702195, 'ab': -10.612654, 'human': -12.436004}]",n
What is the state nickname of Mississippi ?,location,36,"[{'description': -0.5311467, 'entity': -0.9927633, 'ab': -3.1932175, 'location': -7.8018146, 'n': -9.591662}]",description
"What is Black Hills , South Dakota most famous for ?",description,27,"[{'description': -0.025282376, 'location': -4.009978, 'entity': -4.9881425, 'n': -11.270018, 'ab': -14.542424}]",description
What 1966 boob tube bomb took astronauts back to prehistoric times ?,entity,5,"[{'description': -0.16024514, 'entity': -1.9110997, 'n': -9.110241, 'ab': -10.841268, 'location': -11.3792}]",description
How many students attend the University of Massachusetts ?,numeric value,38,"[{'n': -4.277735e-07, 'entity': -14.639998, 'description': -18.083359, 'ab': -18.095367, 'location': -20.543488}]",n
"Who said , `` I shall return . '' during World War Two ?",human being,29,"[{'human': -0.29039627, 'entity': -1.4669328, 'description': -3.8513854, 'ab': -9.348357, 'n': -10.286642}]",human
What holidays are celebrated in Ireland ?,entity,8,"[{'description': -0.07007583, 'entity': -2.6994474, 'location': -7.83641, 'n': -10.349929, 'human': -12.0242}]",description
"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?",human being,29,"[{'human': -0.017883439, 'entity': -4.2017365, 'description': -5.8976283, 'n': -11.753852, 'location': -14.0784445}]",human
What are the Greek numerals ?,description,24,"[{'n': -0.0042505204, 'description': -5.89161, 'ab': -7.0593348, 'entity': -7.386712, 'human': -15.846345}]",n
What 's the name of the temple that is located near the capital city of Laos ?,location,35,"[{'location': -0.00043044917, 'entity': -7.932925, 'description': -9.551204, 'n': -14.491931, 'ab': -16.778498}]",location
What is a fear of sleep ?,entity,7,"[{'description': -0.0019775657, 'entity': -6.2376795, 'human': -11.362, 'n': -11.741746, 'ab': -13.385994}]",description
What auto race was Wilbur Reed the first to win three times ?,entity,17,"[{'entity': -0.1840919, 'description': -1.8613913, 'n': -5.0270786, 'human': -5.213419, 'location': -7.448358}]",entity
What are the most common breeding birds in the U.S. ?,entity,2,"[{'entity': -0.16021211, 'description': -1.9107003, 'location': -9.837985, 'n': -11.960131, 'human': -14.791498}]",entity
"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",entity,8,"[{'description': -0.57184774, 'entity': -0.86459523, 'location': -4.2500167, 'ab': -10.862359, 'n': -11.621697}]",description
How do you look up criminal records on the Internet ?,description,26,"[{'description': -0.45113724, 'entity': -1.0136297, 'n': -9.428142, 'location': -9.702961, 'human': -9.850025}]",description
"Where is the actress , Marion Davies , buried ?",location,35,"[{'location': -0.0032528085, 'entity': -5.7487893, 'description': -10.167238, 'human': -10.802004, 'ab': -13.316713}]",location
What is an example of an actual case of using the Fourteenth Amendment ?,description,25,"[{'description': -0.15840888, 'entity': -1.9210202, 'n': -10.637817, 'human': -11.322288, 'location': -12.181334}]",description
Who was the Charlie perfume woman ?,human being,29,"[{'human': -0.5162546, 'entity': -1.1662484, 'description': -2.3892024, 'n': -11.858165, 'location': -12.275912}]",human
Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?,human being,29,"[{'human': -0.00465417, 'entity': -5.4214478, 'description': -8.427277, 'n': -12.922965, 'ab': -13.606438}]",human
"What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?",human being,29,"[{'human': -0.21745357, 'description': -2.2904897, 'entity': -2.36229, 'ab': -11.770409, 'n': -12.650399}]",human
When did Iraqi troops invade Kuwait ?,numeric value,39,"[{'n': -0.37863493, 'entity': -1.2114445, 'description': -4.141216, 'location': -6.932712, 'human': -7.864375}]",n
What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? '',entity,21,"[{'description': -0.050848152, 'entity': -3.0342622, 'human': -6.679342, 'ab': -8.524351, 'n': -11.643468}]",description
What car was driven in the 199 release of `` Smokey and the Bandit '' ?,entity,15,"[{'entity': -0.22052881, 'description': -1.6200346, 'n': -11.392091, 'human': -13.450402, 'ab': -14.464257}]",entity
What was the backup singing group for Roy Rogers ?,human being,28,"[{'entity': -0.5078245, 'description': -0.93491036, 'human': -5.192433, 'n': -11.262272, 'location': -12.680722}]",entity
What famous singing cowboy owns the California Angels baseball team ?,human being,29,"[{'entity': -0.5168466, 'human': -0.9187249, 'description': -5.4175196, 'n': -9.4846735, 'location': -9.961632}]",entity
What 1915 film was the first to gross $5 million ?,entity,5,"[{'n': -0.098639056, 'entity': -2.4126039, 'description': -5.464041, 'ab': -9.31288, 'human': -11.155194}]",n
Where did the term `` 86 '' come from ?,description,25,"[{'entity': -0.4579469, 'ab': -1.2883837, 'description': -2.3913805, 'location': -9.235175, 'n': -9.241142}]",entity
What causes someone to be ticklish ?,description,27,"[{'description': -1.2946569e-05, 'entity': -11.359768, 'human': -14.177609, 'n': -14.3463335, 'location': -18.3018}]",description
What is the probability that at least 2 out of 25 people will have the same birthday ?,numeric value,45,"[{'n': -5.460492e-07, 'description': -14.930649, 'entity': -15.259163, 'ab': -17.131393, 'location': -20.69033}]",n
How many Canadians emmigrate each year ?,numeric value,38,"[{'n': -1.3823812e-06, 'entity': -13.581941, 'description': -16.338167, 'ab': -16.766169, 'location': -19.530037}]",n
Why did several San Diego schools remove apples from students menus ?,description,27,"[{'description': -0.0027849895, 'location': -6.0387955, 'entity': -7.8483663, 'n': -12.19429, 'human': -13.573647}]",description
What musical instrument did Sherlock Holmes play ?,entity,10,"[{'description': -0.016152648, 'entity': -4.140611, 'human': -9.186364, 'n': -11.918343, 'location': -14.49958}]",description
Who was Gerald Ford 's vice president ?,human being,29,"[{'human': -0.20683669, 'entity': -1.6900979, 'description': -6.096584, 'ab': -9.881687, 'n': -10.14481}]",human
What is `` the washed vodka '' ?,description,24,"[{'description': -0.0075054183, 'entity': -4.8970013, 'ab': -11.869665, 'n': -13.584096, 'human': -16.889189}]",description
How many different languages are spoken in Europe ?,numeric value,38,"[{'n': -2.5744682e-06, 'entity': -12.887101, 'description': -15.964144, 'ab': -17.368103, 'location': -19.470758}]",n
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?,numeric value,39,"[{'n': -0.00021634194, 'entity': -8.551783, 'ab': -11.2289295, 'description': -11.568964, 'location': -15.257608}]",n
What 's a `` Drinker respirator '' better known as ?,entity,21,"[{'ab': -0.12534237, 'entity': -2.2922583, 'description': -4.088889, 'n': -11.669768, 'human': -14.528257}]",ab
Who invented batteries ?,human being,29,"[{'entity': -0.4748968, 'human': -1.0038198, 'description': -4.463147, 'n': -10.281255, 'location': -11.30212}]",entity
Why do recipe books recommend starting with cold water when you boil something ?,description,27,"[{'description': -1.3306066e-05, 'entity': -11.456732, 'n': -12.970121, 'human': -15.430104, 'location': -15.774412}]",description
Where can I buy a good snowboard for less than $200 ?,location,35,"[{'n': -0.00015469792, 'entity': -8.928942, 'description': -10.761278, 'ab': -14.110575, 'location': -15.174273}]",n
What title did Suzette Charles assume for two months in 1984 ?,human being,30,"[{'entity': -0.22955182, 'description': -2.2672334, 'human': -2.550856, 'ab': -3.8083403, 'n': -6.6573625}]",entity
What was the infamous pseudonym of Peter Sutcliffe ?,human being,29,"[{'entity': -0.016929217, 'description': -4.4311595, 'ab': -5.336654, 'human': -9.604606, 'n': -11.998848}]",entity
What is Smokey The Bear 's middle name ?,entity,2,"[{'entity': -0.18164794, 'human': -2.3230128, 'description': -2.7189937, 'n': -6.1730795, 'location': -9.64614}]",entity
What is Nicholas Cage 's occupation ?,human being,30,"[{'human': -0.5618191, 'description': -1.162405, 'entity': -2.1450176, 'n': -10.636572, 'ab': -12.536062}]",human
What British TV series featured Emma Peel ?,entity,5,"[{'description': -0.11155558, 'entity': -2.2486787, 'human': -11.210287, 'n': -12.330412, 'location': -13.321165}]",description
What London street is the home of British journalism ?,location,35,"[{'location': -0.0059707253, 'entity': -5.6455345, 'description': -6.0274167, 'n': -12.212658, 'ab': -12.72553}]",location
What tragedy befell the city of Dogtown in 1899 ?,entity,8,"[{'description': -0.0062290155, 'entity': -5.144115, 'location': -7.924503, 'n': -11.212741, 'human': -14.295778}]",description
What is the Immaculate Conception ?,description,24,"[{'description': -0.13797837, 'entity': -2.0489814, 'ab': -11.271577, 'n': -12.732468, 'location': -14.312874}]",description
What are the names of all the U.S. Navy aircraft carriers ?,entity,22,"[{'entity': -0.0048309625, 'description': -5.3746505, 'location': -8.664377, 'n': -11.448152, 'human': -12.592263}]",entity
What format was VHS 's main competition ?,entity,13,"[{'description': -0.06441561, 'entity': -2.7749178, 'ab': -10.775117, 'n': -11.671989, 'human': -14.534706}]",description
What is Candlemas Day ?,description,24,"[{'description': -0.005457645, 'entity': -5.2148614, 'n': -12.186801, 'location': -13.481104, 'ab': -13.9349}]",description
In what city is the famed St. Mark 's Square ?,location,32,"[{'location': -6.3900848e-06, 'entity': -12.267217, 'description': -13.877934, 'n': -14.148496, 'ab': -16.573965}]",location
What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?,entity,21,"[{'description': -0.0015894405, 'entity': -6.486307, 'ab': -9.668932, 'n': -14.205623, 'human': -15.831956}]",description
How much did the minimum wage amount to in 1991 ?,numeric value,41,"[{'n': -1.2622395e-06, 'entity': -13.680945, 'description': -16.04564, 'ab': -16.888245, 'location': -20.204742}]",n
Where is Tufts University ?,location,35,"[{'location': -7.469949e-05, 'entity': -9.551352, 'n': -13.185697, 'description': -13.435147, 'ab': -15.0961275}]",location
What is a pyrotechnic display ?,description,24,"[{'description': -8.435633e-05, 'entity': -9.382446, 'n': -15.106223, 'location': -18.6406, 'ab': -19.549255}]",description
How do I find out about jobs ?,description,26,"[{'description': -0.010943732, 'entity': -4.525844, 'human': -10.009669, 'n': -11.529581, 'location': -12.564677}]",description
What Japanese manufacturer is known for both its pianos and its motorcycles ?,human being,28,"[{'entity': -0.0090949, 'description': -4.7049413, 'n': -13.163216, 'ab': -13.577836, 'location': -16.060913}]",entity
What is the chemical reactivity of argon ?,numeric value,43,"[{'description': -0.7546079, 'entity': -0.79145026, 'n': -2.5698774, 'ab': -9.605361, 'human': -12.736106}]",description
How many engines does a Boeing 737 have ?,numeric value,38,"[{'n': -7.937927e-06, 'entity': -11.834885, 'description': -14.2135315, 'ab': -16.138618, 'location': -18.916603}]",n
What is the origin of the term `` The Brooklyn Side '' in bowling ?,description,25,"[{'description': -0.023095518, 'entity': -3.7871256, 'location': -9.041123, 'ab': -9.933541, 'n': -12.893846}]",description
What is a fear of being cold ?,entity,7,"[{'description': -0.0037772674, 'entity': -5.5886235, 'human': -10.915237, 'n': -11.532586, 'ab': -13.216759}]",description
How long was Mao 's 1930s Long March ?,numeric value,40,"[{'n': -2.0218295e-05, 'description': -11.059148, 'entity': -12.386388, 'ab': -15.067951, 'location': -18.670475}]",n
What net game sees its women 's world amateur champions receive the Uber Cup ?,entity,17,"[{'entity': -0.07299563, 'description': -2.6645484, 'ab': -7.80853, 'n': -8.27741, 'human': -9.330992}]",entity
What four-legged creature did a Cornell University study say would make man 's best companion in space ?,entity,2,"[{'entity': -0.13764384, 'description': -2.051485, 'human': -10.175554, 'n': -11.800585, 'location': -13.811135}]",entity
What does a teaspoon of matter weigh in a black hole ?,numeric value,49,"[{'n': -0.0056138984, 'entity': -5.6665173, 'description': -6.172621, 'ab': -9.96414, 'location': -12.29212}]",n
"What did British companies stick 175 , 0 tons of tea into in 1982 ?",entity,13,"[{'entity': -0.53281516, 'description': -0.9000638, 'n': -5.546487, 'location': -6.001191, 'human': -9.038094}]",entity
What province is Edmonton located in ?,location,36,"[{'location': -0.0035806834, 'entity': -5.6792703, 'description': -9.12929, 'ab': -10.107485, 'n': -11.615053}]",location
How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,description,26,"[{'n': -4.0246297e-05, 'description': -10.740853, 'entity': -11.052172, 'ab': -12.801447, 'human': -17.399994}]",n
Who did Sonny Liston succeed as world heavyweight boxing champion ?,human being,29,"[{'entity': -0.29539877, 'human': -1.4165382, 'description': -4.329548, 'n': -10.409069, 'ab': -12.149248}]",entity
What is California 's state bird ?,entity,2,"[{'entity': -0.1517806, 'description': -1.9604506, 'location': -10.6258335, 'n': -12.738022, 'ab': -13.803629}]",entity
What is Martin Luther King Jr. 's real birthday ?,numeric value,39,"[{'n': -0.6918359, 'entity': -1.1012521, 'description': -2.3822503, 'human': -2.6118493, 'ab': -7.405825}]",n
Name the various super-teams to which the Angel has belonged .,human being,28,"[{'description': -0.13492939, 'entity': -2.0697439, 'n': -13.173098, 'human': -13.558657, 'ab': -14.028323}]",description
How does Zatanna perform her magic in DC comics ?,description,26,"[{'description': -0.00055138493, 'entity': -7.5055103, 'n': -14.158068, 'human': -15.280299, 'location': -16.15626}]",description
What 's the name of Jacques Cousteau 's research ship ?,entity,22,"[{'entity': -0.0022024466, 'description': -6.1252027, 'human': -12.012554, 'location': -12.239155, 'n': -13.239157}]",entity
What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,human being,29,"[{'human': -0.20232488, 'entity': -1.7458506, 'description': -4.7581263, 'n': -9.978005, 'ab': -10.250001}]",human
Whose video is titled Shape Up with Arnold ?,human being,29,"[{'entity': -0.32816, 'human': -1.2894484, 'description': -5.4461865, 'n': -11.323329, 'location': -12.38525}]",entity
In which Kevin Costner movie did Sioux Indians play a role ?,entity,5,"[{'description': -0.2716852, 'entity': -1.4383187, 'human': -7.6547947, 'location': -9.584894, 'n': -10.255068}]",description
How many James Bond novels are there ?,numeric value,38,"[{'n': -1.1398727e-05, 'entity': -11.388872, 'description': -16.092411, 'ab': -16.389118, 'location': -18.721025}]",n
How do you get dates with the `` Hooters '' girls ?,description,26,"[{'description': -0.24757794, 'entity': -1.5404475, 'human': -5.3113213, 'location': -9.965107, 'ab': -10.507564}]",description
What bird can swim but can 't fly ?,entity,2,"[{'description': -0.017793272, 'entity': -4.0379195, 'n': -13.514298, 'location': -14.829742, 'human': -15.966026}]",description
How can I get a comic character I made copyrighted and published ?,description,26,"[{'entity': -0.080620974, 'description': -2.558366, 'human': -11.229279, 'n': -11.654305, 'ab': -12.719177}]",entity
How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,numeric value,48,"[{'description': -0.67821294, 'n': -0.7573526, 'entity': -3.8466086, 'location': -6.122136, 'ab': -10.652478}]",description
What is Plc ?,description,24,"[{'ab': -0.0013048351, 'entity': -6.649681, 'n': -12.104126, 'description': -12.435805, 'location': -18.999619}]",ab
How much electricity does the brain need to work ?,numeric value,38,"[{'n': -0.0012822766, 'description': -7.0742035, 'entity': -7.7466583, 'ab': -12.980071, 'human': -15.318427}]",n
How many acres in a mile ?,numeric value,38,"[{'n': -1.022884e-06, 'entity': -14.077866, 'description': -15.173424, 'ab': -16.848969, 'location': -19.300133}]",n
What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,entity,5,"[{'description': -0.10607139, 'entity': -2.2970657, 'human': -9.774826, 'n': -10.590553, 'location': -12.565696}]",description
What is a hyperlink ?,description,24,"[{'entity': -0.1786868, 'description': -1.8102251, 'ab': -11.238646, 'n': -13.290518, 'location': -15.956495}]",entity
Who 's the twin brother of the Greek goddess Artemis ?,human being,29,"[{'human': -0.21213658, 'entity': -1.6961912, 'description': -4.860666, 'n': -11.218759, 'location': -12.126091}]",human
Where did marijuana come from ?,description,25,"[{'description': -0.41244847, 'entity': -1.1329685, 'location': -4.143596, 'n': -10.473651, 'ab': -12.864542}]",description
"What is the per-capita income of Colombia , South America , ?",numeric value,41,"[{'n': -0.00033200442, 'entity': -8.065365, 'description': -11.048595, 'ab': -13.614177, 'location': -14.29771}]",n
What novel has Big Brother watching ?,entity,5,"[{'description': -0.014368541, 'entity': -4.250353, 'n': -12.41675, 'human': -13.057017, 'location': -14.870562}]",description
How many Grammys did Michael Jackson win in 1983 ?,numeric value,38,"[{'n': -6.6294406e-06, 'entity': -11.962225, 'description': -15.826858, 'ab': -16.116087, 'human': -18.903069}]",n
What does Elysium mean ?,description,24,"[{'description': -0.37100217, 'entity': -1.2037048, 'ab': -4.6200633, 'n': -10.618111, 'location': -14.639922}]",description
What is the oldest website on the Internet ?,location,35,"[{'entity': -0.34876055, 'description': -1.2290782, 'n': -6.308126, 'human': -10.314795, 'location': -10.824125}]",entity
What is Shalom ?,description,24,"[{'description': -0.4876988, 'entity': -0.9558843, 'ab': -6.515218, 'human': -12.289692, 'n': -12.374318}]",description
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,entity,17,"[{'description': -0.002715058, 'entity': -5.9352407, 'human': -9.771369, 'n': -11.606413, 'location': -14.529036}]",description
What organic fuel do bog-dwellers use a `` slane '' to cut ?,entity,18,"[{'entity': -0.22060706, 'description': -1.6220049, 'ab': -7.7219806, 'n': -10.797847, 'human': -13.261683}]",entity
What is the average age of a member of the team that worked on the Manhatten Project ?,numeric value,44,"[{'n': -6.031526e-06, 'entity': -12.159673, 'description': -14.107091, 'ab': -16.906439, 'human': -17.502575}]",n
What country received all the Nobel Prizes awarded in 1976 ?,location,33,"[{'location': -0.115647525, 'entity': -2.2175457, 'description': -8.32544, 'n': -9.752397, 'ab': -10.287102}]",location
How do you get rid on woodpeckers ?,description,26,"[{'description': -0.0014955389, 'entity': -6.5075603, 'n': -13.507751, 'location': -14.496353, 'human': -15.068732}]",description
How many syllables are there in a line of hendecasyllabic poetry ?,numeric value,38,"[{'n': -4.2433903e-06, 'entity': -12.792545, 'description': -13.427082, 'ab': -16.817501, 'location': -19.494755}]",n
"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",entity,9,"[{'description': -0.39553422, 'entity': -1.1521182, 'location': -4.5526843, 'n': -8.691387, 'ab': -12.158847}]",description
What is Britain 's possession on the Chinese mainland ?,location,35,"[{'entity': -0.31309056, 'location': -1.6818726, 'description': -2.4934647, 'n': -9.039973, 'ab': -9.925578}]",entity
Who was America 's first Public Enemy No. 1 ?,human being,29,"[{'entity': -0.045889348, 'human': -3.4425642, 'description': -4.4271607, 'n': -7.4437013, 'ab': -8.002493}]",entity
How many children under 18 are victims of some sort of Physical Abuse each year ?,numeric value,38,"[{'n': -4.6010214e-06, 'entity': -12.427219, 'description': -14.433926, 'ab': -16.47707, 'human': -18.924984}]",n
What is the origin of thank you notes ?,description,25,"[{'description': -0.00019583241, 'entity': -8.543813, 'location': -14.412908, 'n': -14.870526, 'human': -16.695738}]",description
What did Jimmy Stewart invent ?,entity,13,"[{'entity': -0.22162154, 'description': -1.744136, 'human': -3.7349577, 'n': -9.162585, 'location': -12.279245}]",entity
What generation am I in ?,entity,13,"[{'n': -0.014578926, 'description': -4.5474997, 'entity': -5.775435, 'ab': -7.622618, 'human': -8.158401}]",n
What is a fear of hell ?,entity,7,"[{'description': -0.0065132263, 'entity': -5.038976, 'n': -11.72585, 'ab': -13.352399, 'human': -13.481809}]",description
Who is Dear Abby ?,human being,31,"[{'human': -0.100227214, 'entity': -2.502815, 'description': -4.3049235, 'n': -11.971633, 'ab': -12.388671}]",human
"Who lives at 24 Sussex Drive , Ottawa ?",human being,29,"[{'location': -0.0032352286, 'entity': -5.7669454, 'description': -9.8858185, 'human': -10.548325, 'n': -10.662193}]",location
What is Jell-O made from ?,entity,18,"[{'description': -0.00064776564, 'entity': -7.3460226, 'n': -12.983199, 'location': -16.687965, 'ab': -16.76827}]",description
Who was Monet ?,human being,31,"[{'entity': -0.6159483, 'description': -0.80920845, 'human': -4.2229047, 'n': -12.311817, 'location': -14.248646}]",entity
What are the only two states that incorporate the Confederate battle flag in their flags ?,location,36,"[{'location': -0.031235263, 'entity': -3.7521136, 'description': -4.9525075, 'n': -8.61947, 'ab': -10.177818}]",location
How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,description,26,"[{'description': -4.6921985e-05, 'entity': -9.976128, 'n': -14.497941, 'location': -17.47393, 'human': -18.277344}]",description
What 's the Southern dish made of pigs ' small intestines ?,entity,9,"[{'description': -0.00078000367, 'entity': -7.1584415, 'n': -13.701258, 'location': -15.04406, 'ab': -17.708529}]",description
Where is Guam ?,location,35,"[{'location': -1.2351458e-05, 'entity': -11.516339, 'n': -13.17387, 'description': -14.930828, 'ab': -15.675}]",location
Who was the famous door-to-door brush salesman ?,human being,29,"[{'description': -0.42132646, 'entity': -1.4871607, 'human': -2.1388404, 'location': -11.4572, 'n': -11.673965}]",description
What is the executor in a will ?,description,24,"[{'entity': -0.07156621, 'description': -2.9343133, 'human': -4.1429696, 'n': -11.090731, 'ab': -11.968065}]",entity
"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",human being,28,"[{'description': -0.7673837, 'n': -0.88265616, 'entity': -2.123249, 'ab': -6.104519, 'location': -8.618519}]",description
How many people in America snore ?,numeric value,38,"[{'n': -3.1185496e-05, 'entity': -10.435043, 'description': -13.55201, 'human': -14.662178, 'ab': -16.14965}]",n
Who is always trying to get the rent from Andy Capp ?,human being,29,"[{'human': -0.26758215, 'entity': -1.5952264, 'description': -3.4454765, 'location': -11.461673, 'n': -11.866328}]",human
What soft drink is most heavily caffeinated ?,entity,9,"[{'description': -0.032527283, 'entity': -3.4672272, 'n': -7.1342726, 'ab': -12.952983, 'location': -14.491611}]",description
Who did Jackie Kennedy commission to write The Death of a President ?,human being,29,"[{'entity': -0.44879353, 'human': -1.1978629, 'description': -2.8178504, 'n': -10.841646, 'location': -11.859109}]",entity
Which drug is commonly used to treat AIDS ?,entity,7,"[{'entity': -0.15900658, 'description': -1.917376, 'n': -11.587281, 'human': -12.04413, 'ab': -13.318368}]",entity
How many stars are there on the Soviet Union 's flag ?,numeric value,38,"[{'n': -1.3661821e-05, 'entity': -11.312955, 'description': -13.513669, 'ab': -16.095716, 'location': -18.350767}]",n
What is the difference between microprocessors & microcontrollers ?,description,25,"[{'description': -0.0009984109, 'entity': -6.911482, 'n': -13.438978, 'ab': -15.550872, 'human': -17.161598}]",description
Who sought to create The Great Society ?,human being,29,"[{'human': -0.13198313, 'entity': -2.1236517, 'description': -5.512621, 'n': -11.269976, 'location': -13.538553}]",human
What are tourist attractions in Reims ?,location,35,"[{'description': -0.6111085, 'location': -1.3210542, 'entity': -1.6589067, 'n': -9.898667, 'human': -15.841294}]",description
What are the lengths of pearl necklaces ?,numeric value,40,"[{'n': -7.720381e-05, 'description': -9.679749, 'entity': -11.132271, 'ab': -15.945832, 'human': -18.79705}]",n
Who said : `` Soldiers win the battles and generals get the credit '' ?,human being,29,"[{'human': -0.16156346, 'entity': -1.9786717, 'description': -4.5219526, 'n': -10.121196, 'location': -11.0466795}]",human
What is the proof that houseplants metabolize carcinogens ?,description,25,"[{'description': -0.0016557111, 'entity': -6.410789, 'n': -11.476288, 'human': -15.682525, 'location': -15.771332}]",description
What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,description,27,"[{'description': -1.0561456e-05, 'entity': -11.481692, 'n': -16.079393, 'human': -16.436314, 'location': -18.132463}]",description
How long does it take the typical hen to lay 19 dozen eggs ?,numeric value,44,"[{'n': -0.00018617464, 'description': -8.71403, 'entity': -10.762111, 'ab': -14.47809, 'human': -16.284243}]",n
What Colorado city owns its own glacier ?,location,32,"[{'location': -0.0012127497, 'entity': -7.348975, 'description': -7.4978786, 'n': -11.201546, 'ab': -13.921766}]",location
What is the history of `` the toast '' ?,description,25,"[{'description': -0.00068480574, 'entity': -7.2875423, 'n': -14.537519, 'location': -16.897032, 'ab': -17.044096}]",description
What was the name of the Protestant revolt against the supremacy of the Pope ?,entity,8,"[{'entity': -0.119407594, 'description': -2.1846693, 'ab': -10.5067215, 'human': -11.948653, 'n': -12.531676}]",entity
What is an arab strap ?,description,24,"[{'description': -0.10450185, 'entity': -2.3140507, 'ab': -7.9143615, 'n': -13.635172, 'location': -15.3274}]",description
"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,",numeric value,41,"[{'n': -0.0037463943, 'entity': -5.839318, 'description': -7.1386566, 'ab': -10.389153, 'location': -12.461013}]",n
Who is the current UN Secretary General ?,human being,29,"[{'human': -0.23619159, 'entity': -1.5609366, 'description': -7.7976837, 'n': -11.561729, 'ab': -11.699951}]",human
"Who provides telephone service in Orange County , California ?",human being,28,"[{'location': -0.23411772, 'entity': -1.5712453, 'description': -7.0149555, 'n': -10.265413, 'human': -11.677195}]",location
Where did guinea pigs originate ?,location,35,"[{'location': -0.032053214, 'entity': -3.6297245, 'description': -5.2986317, 'n': -10.712366, 'ab': -14.110573}]",location
What two countries ' coastlines border the Bay of Biscay ?,location,33,"[{'location': -0.015913347, 'entity': -4.1665707, 'description': -8.363455, 'n': -9.94396, 'ab': -14.06288}]",location
Why did Egyptians shave their eyebrows ?,description,27,"[{'description': -1.7236207e-05, 'entity': -11.0457325, 'n': -14.230143, 'human': -14.536219, 'location': -15.905794}]",description
What organization did Mr. Waverly assign agents for ?,human being,28,"[{'entity': -0.016029993, 'description': -4.1743016, 'human': -7.713791, 'ab': -9.934082, 'n': -11.387664}]",entity
When was the slinky invented ?,numeric value,39,"[{'description': -0.41103777, 'entity': -1.6272012, 'n': -1.9671673, 'human': -7.396153, 'ab': -9.79266}]",description
What are the characters ' names in the Scooby-Doo cartoon ?,human being,29,"[{'description': -0.0387173, 'entity': -3.2906094, 'human': -7.206869, 'n': -12.36826, 'location': -14.709142}]",description
What is a fear of cold ?,entity,7,"[{'description': -0.00044082504, 'entity': -7.7387595, 'n': -12.403638, 'human': -14.33843, 'ab': -14.845296}]",description
What was Eduard Shevardnadze 's job in the Soviet Union ?,human being,30,"[{'description': -0.638649, 'entity': -0.75934607, 'human': -5.536186, 'ab': -9.767006, 'n': -10.867813}]",description
What causes rust ?,description,27,"[{'description': -3.869565e-05, 'entity': -10.176308, 'n': -14.12699, 'ab': -17.33947, 'location': -17.985367}]",description
Which is the only Dick Tracy villain to appear three times ?,human being,29,"[{'entity': -0.27224386, 'description': -1.4365963, 'human': -7.464412, 'n': -11.2753935, 'ab': -11.998363}]",entity
What was the monster in Spielberg 's film `` Jaws '' ?,entity,2,"[{'entity': -0.06247223, 'description': -2.8041406, 'n': -13.510172, 'human': -14.507853, 'location': -15.203349}]",entity
What color is an Arctic fox in winter ?,entity,4,"[{'description': -9.592052e-05, 'entity': -9.259557, 'n': -14.235057, 'location': -17.61362, 'human': -18.248224}]",description
